conselho ;conselheiro;setor;posicao
Segurança Alimentar e Nutricional;Paulo Honorato;Sociedade Civil;Titular
Segurança Alimentar e Nutricional;Valquiria Rocha Servo;Sociedade Civil;Suplente
Segurança Alimentar e Nutricional;Elenilson do Espírito Santo;Sociedade Civil;Titular
Segurança Alimentar e Nutricional;Patrícia Xavier Honorato;Sociedade Civil;Titular
Segurança Alimentar e Nutricional;Tatiana dos Santos Almeida;Sociedade Civil;Suplente
Segurança Alimentar e Nutricional;Maria de Lourdes Cruz Nascimento Magno;Sociedade Civil;Titular
Segurança Alimentar e Nutricional;Amaro da Silva Lopes;Sociedade Civil;Suplente
Segurança Alimentar e Nutricional;Lucimara Pereira Muniz;Sociedade Civil;Titular
Segurança Alimentar e Nutricional;Luciana Pereira Muniz;Sociedade Civil;Suplente
Segurança Alimentar e Nutricional;Érica Gomes Martins;Sociedade Civil;Titular
Segurança Alimentar e Nutricional;Sueli da Silva;Sociedade Civil;Suplente
Segurança Alimentar e Nutricional;Francisco de Assis do Nascimento;Sociedade Civil;Titular
Segurança Alimentar e Nutricional;David Barbosa do Nascimento;Sociedade Civil;Suplente
Segurança Alimentar e Nutricional;Mauro Macedo Campos;sociedade Civil;Titular
Segurança Alimentar e Nutricional;Geraldo Márcio Timóteo;Sociedade Civil;Suplente
Segurança Alimentar e Nutricional;Fabíola Teixeira Azevedo;Sociedade Civil;Titular
Segurança Alimentar e Nutricional;Marcia Aparecida Vieira Mussi;Sociedade Civil;Suplente
Segurança Alimentar e Nutricional;Ricardo Cabral da Cruz;Sociedade Civil;Titular
Segurança Alimentar e Nutricional;Sandro Abreu Cezário;Sociedade Civil;Suplente
Segurança Alimentar e Nutricional;Kamyla de Souza Morgade;Sociedade Civil;Titular
Segurança Alimentar e Nutricional;Gelson Sebastião;Sociedade Civil;Titular
Segurança Alimentar e Nutricional;José Roberto Damaceno Portela;Sociedade Civil;Titular
Segurança Alimentar e Nutricional;Sandro Abreu Cezário;Sociedade Civil;Titular
Direitos da Mulher;Manuelli Batista Ramos;Sociedade Civil;Titular
Direitos da Mulher;Patrícia Dias Silva dos Santos;Sociedade Civil;Suplente
Direitos da Mulher;Lorena Belo Ferreira;Sociedade Civil;Titular
Direitos da Mulher;Tayna Santos Conceição;Sociedade Civil;Suplente
Direitos da Mulher;Rosa Maria Moreira Sales;Sociedade Civil;Titular
Direitos da Mulher;Laisses Vânia dos Santos Rangel;Sociedade Civil;Suplente
Direitos da Mulher;Tatiana da Silva;Sociedade Civil;Titular
Direitos da Mulher;Patrícia Xavier Honorato;Sociedade Civil;Suplente
Direitos da Mulher;Alciléia dos Santos R. do Rosário ;Sociedade Civil;Titular
Direitos da Mulher;Maria José Serafin Jorge;Sociedade Civil;Suplente
Direitos da Mulher;Rosângela Moreira de Azevedo;Sociedade Civil;Titular
Direitos da Mulher;Mara Regina Santos Pereira;Sociedade Civil;Suplente
Direitos da Mulher;Iara Silva Lima Alexandrino;Sociedade Civil;Titular
Direitos da Mulher;Eliana da Silva Goulart;Sociedade Civil;Suplente
Direitos da Mulher;Jéssica Cristina Álvaro de Oliveira;Sociedade Civil;Titular
Direitos da Mulher;Anna Caroline dos Santos Tomaz;Sociedade Civil;Suplente
Direitos da Mulher;Rosângela Gomes Paulo;Sociedade Civil;Titular
Direitos da Mulher;Ilídia Campos da Cunha;Sociedade Civil;Suplente
Direitos da Mulher;Valquiria Rocha Servo;Sociedade Civil;Titular
Direitos da Mulher;Ângela da Costa Barreto;Sociedade Civil;Suplente
Direitos da Mulher;Thaís Siqueira Gomes;Sociedade Civil;Titular
Direitos da Mulher;Nilza Franco Portela;Sociedade Civil;Suplente
Direitos da Mulher;Anne Caroline Afonso F. R. Cardoso;Poder Público;Titular
Direitos da Mulher;Leísia Crespo Rossi;Poder Público;Suplente
Direitos da Mulher;Elisa Mayerhoffer Peralva;Poder Público;Titular
Direitos da Mulher;Giselle da Silva Escocard;Poder Público;Suplente
Direitos da Mulher;Ana Márcia Mercadante Scot;Poder Público;Titular
Direitos da Mulher;Karina Silva Marques Nunes de Souza;Poder Público;Titular
Direitos da Mulher;Natália Campolino Moussallem;Poder Público;Suplente
Direitos da Mulher;Christiane Mazzini Villar Ribeiro;Poder Público;Titular
Direitos da Mulher;Mariá de Azevedo Lyrio Barreto;Poder Público;Suplente
Direitos da Mulher;Romarilda Ismênia Monteiro de Barros;Poder Público;Titular
Direitos da Mulher;Tatiana Botelho Sampaio;Poder Público;Titular
Direitos da Mulher;Rosana Rosa Ribeiro;Poder Público;Suplente
Direitos da Mulher;Simone Pedro Vieira;Poder Público;Titular
Direitos da Mulher;Flávia Barreto Sales;Poder Público;Titular
Direitos da Mulher;Letícia de Almeida Neto;Poder Público;Suplente
Direitos da Mulher;Juliana Gonçalves Manhães dos Reis;Poder Público;Titular
Direitos da Mulher;Cinara Souza de Oliveira Santos;Poder Público;Suplente
Direitos da Mulher;Josiane Lima Borges Viana;Poder Público;Titular
Direitos da Mulher;Joilza Rangel Abreu;Poder Público;Suplente
Inclusão da Pessoa com Deficiencia;Renato Barbosa Vieira;Poder Público;Titular
Inclusão da Pessoa com Deficiencia;Cristiane Cardoso de Oliveira Ressiguier;Poder Público; Suplente
Inclusão da Pessoa com Deficiencia;Paulo Roberto Pereira Gomes;Poder Público;Titular
Inclusão da Pessoa com Deficiencia;João Luiz de Mello e Silva;Poder Público; Suplente
Inclusão da Pessoa com Deficiencia;Fábio Gonçalves Coboski;Poder Público;Titular
Inclusão da Pessoa com Deficiencia;Nayne Tamy Barreto Neves;Poder Público; Suplente
Inclusão da Pessoa com Deficiencia;Ana Paula Pessanha Cordeiro;Poder Público;Titular
Inclusão da Pessoa com Deficiencia;Sandro César Said Mucci;Poder Público; Suplente
Inclusão da Pessoa com Deficiencia;Gilce Maria de Almeida Sales Cruz;Poder Público;Titular
Inclusão da Pessoa com Deficiencia;Maria Angélica Rocha Gama;Poder Público; Suplente
Inclusão da Pessoa com Deficiencia;Alexis Wallace Sardinha;Poder Público;Titular
Inclusão da Pessoa com Deficiencia;Antônio Julião Pinheiro Neto;Poder Público; Suplente
Inclusão da Pessoa com Deficiencia;Wandick Lobo Neto;Poder Público;Titular
Inclusão da Pessoa com Deficiencia;Maria Helena de Souza Pereira;Poder Público; Suplente
Inclusão da Pessoa com Deficiencia;Romarilda Ismênia Monteiro de Barros;Poder Público;Titular
Inclusão da Pessoa com Deficiencia;Luiz Vagner Cunha Henriques;Poder Público; Suplente
Inclusão da Pessoa com Deficiencia;Beatriz Cruz Siqueira;Poder Público;Titular
Inclusão da Pessoa com Deficiencia;Karla Boa Morte;Poder Público; Suplente
