conselho ;conselheiro;setor;posicao;entidade
POLÍTICA AGRÍCOLA E PECUÁRIA;Oziel Batista Crespo Filho;Sociedade civil;Suplente;FIRJAN – Federação das Indústrias do Estado do Rio de Janeiro
PROMOÇÃO DA IGUALDADE RACIAL;Rogério Soares de Siqueira;Poder Público;Titular;Superintendência da Igualdade Racial
PROMOÇÃO DA IGUALDADE RACIAL;Ricardo da Silva Viana;Poder Público;Suplente;Superintendência da Igualdade Racial
PROMOÇÃO DA IGUALDADE RACIAL;Graziela Escocard Ribeiro;Poder Público;Titular;Fundação Cultural Jornalista Oswaldo Lima
PROMOÇÃO DA IGUALDADE RACIAL;Carlos Roberto Bastos Freitas;Poder Público;Suplente;Fundação Cultural Jornalista Oswaldo Lima
PROMOÇÃO DA IGUALDADE RACIAL;Thaís Chaves Soares Pessanha;Poder Público;Titular;Secretaria Municipal de Desenvolvimento Humano e Social
PROMOÇÃO DA IGUALDADE RACIAL;Raquel Almeida Gonçalves Santos;Poder Público;Suplente;Secretaria Municipal de Desenvolvimento Humano e Social
PROMOÇÃO DA IGUALDADE RACIAL;Luana Rodrigues da Silva;Poder Público;Titular;Fundação Municipal da Infância e da Juventude
PROMOÇÃO DA IGUALDADE RACIAL;Tatiana Freire Ferreira;Poder Público;Suplente;Fundação Municipal da Infância e da Juventude
PROMOÇÃO DA IGUALDADE RACIAL;Fernando Antônio Leite Cabral Loureiro;Poder Público;Titular;Secretaria Municipal de Transparência e Controle
PROMOÇÃO DA IGUALDADE RACIAL;Maria Angelica Rocha Gama;Poder Público;Suplente;Secretaria Municipal de Transparência e Controle
PROMOÇÃO DA IGUALDADE RACIAL;César Siqueira de Souza;Poder Público;Titular;Fundação Municipal de Esporte
PROMOÇÃO DA IGUALDADE RACIAL;Wellington Passos;Poder Público;Suplente;Fundação Municipal de Esporte
PROMOÇÃO DA IGUALDADE RACIAL;Rogério Siqueira Dias Maciel;Poder Público;Titular;Procuradoria Geral do Município
PROMOÇÃO DA IGUALDADE RACIAL;Marcos Vinícius Soares de Souza;Poder Público;Suplente;Procuradoria Geral do Município
PROMOÇÃO DA IGUALDADE RACIAL;José Roberto Pessanha;Poder Público;Titular;Superintendência de Pesca e Agricultura
PROMOÇÃO DA IGUALDADE RACIAL;José Armando Ribeiro Barreto;Poder Público;Suplente;Superintendência de Pesca e Agricultura
PROMOÇÃO DA IGUALDADE RACIAL;Roberto Barcellos Pessanha Crespo;Poder Público;Titular;Secretaria Municipal de Educação, Cultura e Esporte
PROMOÇÃO DA IGUALDADE RACIAL;Eliedma Pires Dutra da Conceição;Poder Público;Suplente;Secretaria Municipal de Educação, Cultura e Esporte
PROMOÇÃO DA IGUALDADE RACIAL;Rosângela Gomes Paulo;Poder Público;Titular;Secretaria Municipal de Saúde
PROMOÇÃO DA IGUALDADE RACIAL;Celeste da Silva Gomes;Poder Público;Suplente;Secretaria Municipal de Saúde
PROMOÇÃO DA IGUALDADE RACIAL;Maria José Serafim Jorge;Sociedade civil;Titular;Movimento Campista de Pesquisa e Cultura Negra (MCPCN)
PROMOÇÃO DA IGUALDADE RACIAL;Clécia Maria Almeida;Sociedade civil;Suplente;Movimento Campista de Pesquisa e Cultura Negra (MCPCN)
PROMOÇÃO DA IGUALDADE RACIAL;Patrícia Xavier Honorato;Sociedade civil;Titular;Associação dos Pequenos Produtores Rurais e Quilombolas de Aleluia, Batatal e Cambucá (APROBAL)
PROMOÇÃO DA IGUALDADE RACIAL;Tatiana dos Santos Almeida;Sociedade civil;Suplente;Associação dos Pequenos Produtores Rurais e Quilombolas de Aleluia, Batatal e Cambucá (APROBAL)
PROMOÇÃO DA IGUALDADE RACIAL;Lucimara Pereira Muniz;Sociedade civil;Titular;Instituto de Desenvolvimento Afro do Norte Noroeste Fluminense
PROMOÇÃO DA IGUALDADE RACIAL;Maurício Teixeira;Sociedade civil;Suplente;Instituto de Desenvolvimento Afro do Norte Noroeste Fluminense
PROMOÇÃO DA IGUALDADE RACIAL;Valquiria Rocha Servo;Sociedade civil;Titular;Sindicato dos Trabalhadores Rurais
PROMOÇÃO DA IGUALDADE RACIAL;Paulo Honorato;Sociedade civil;Suplente;Sindicato dos Trabalhadores Rurais
PROMOÇÃO DA IGUALDADE RACIAL;Manuelli Batista Ramos;Sociedade civil;Titular;Escola de Arte e Cultura Popular Mãos Negras
PROMOÇÃO DA IGUALDADE RACIAL;Patricia Dias Silva dos Santos;Sociedade civil;Suplente;Escola de Arte e Cultura Popular Mãos Negras
PROMOÇÃO DA IGUALDADE RACIAL;Gilberto Firmino Coutinho Junior;Sociedade civil;Titular;Fórum Municipal de Religiões Afro Brasileiras (FRAB)
PROMOÇÃO DA IGUALDADE RACIAL;Leo Darmont de Alvarenga;Sociedade civil;Suplente;Fórum Municipal de Religiões Afro Brasileiras (FRAB)
PROMOÇÃO DA IGUALDADE RACIAL;Neicia Dabra da Penha Rosa de Araújo;Sociedade civil;Titular;União de negros pela igualdade (UNEGRO Campos)
PROMOÇÃO DA IGUALDADE RACIAL;Lediane Reis de Souza;Sociedade civil;Suplente;União de negros pela igualdade (UNEGRO Campos)
PROMOÇÃO DA IGUALDADE RACIAL;João José Ribeiro Damásio;Sociedade civil;Titular;Associação Nacional em Defesa dos Consumidores de Serviços Essenciais (ANADECOSE)
PROMOÇÃO DA IGUALDADE RACIAL;Eduardo Robson Guedes de Assis;Sociedade civil;Suplente;Associação Nacional em Defesa dos Consumidores de Serviços Essenciais (ANADECOSE)
PROMOÇÃO DA IGUALDADE RACIAL;Victor Hugo Ribeiro Almeida;Sociedade civil;Titular;Nação Basquete de Rua (NBR)
PROMOÇÃO DA IGUALDADE RACIAL;Tamillys Lirio da Silva;Sociedade civil;Suplente;Nação Basquete de Rua (NBR)
PROMOÇÃO DA IGUALDADE RACIAL;Sandro Abreu Cezário;Sociedade civil;Titular;Instituto Solar Brasil de Desenvolvimento Saúde e Pesquisa (ISOBRAS)
PROMOÇÃO DA IGUALDADE RACIAL;Ricardo Cabral da Cruz;Sociedade civil;Suplente;Instituto Solar Brasil de Desenvolvimento Saúde e Pesquisa (ISOBRAS)
PRESERVAÇÃO DO PATRIMÔNIO HISTÓRICO E CULTURAL;Maria Cristina Torres Lima;Poder Público;Titular;Fundação Cultural Jornalista Oswaldo Lima
PRESERVAÇÃO DO PATRIMÔNIO HISTÓRICO E CULTURAL;Rodrigo Espinosa Andrade;Poder Público;Suplente;Fundação Cultural Jornalista Oswaldo Lima
PRESERVAÇÃO DO PATRIMÔNIO HISTÓRICO E CULTURAL;José Paes Neto;Poder Público;Titular;Procuradoria Geral do Município
PRESERVAÇÃO DO PATRIMÔNIO HISTÓRICO E CULTURAL;Paolo Ney Bastos Marques Pereira;Poder Público;Suplente;Procuradoria Geral do Município
PRESERVAÇÃO DO PATRIMÔNIO HISTÓRICO E CULTURAL;Marcos Geovane Manhães;Poder Público;Titular;Secretaria Municipal de Desenvolvimento Ambiental
PRESERVAÇÃO DO PATRIMÔNIO HISTÓRICO E CULTURAL;Roger Rangel Coutinho;Poder Público;Suplente;Secretaria Municipal de Desenvolvimento Ambiental
PRESERVAÇÃO DO PATRIMÔNIO HISTÓRICO E CULTURAL;Edison Pessanha Braga;Poder Público;Titular;Coordenadoria de Defesa Civil
PRESERVAÇÃO DO PATRIMÔNIO HISTÓRICO E CULTURAL;Isabela Eduardo Rodrigues;Poder Público;Suplente;Coordenadoria de Defesa Civil
PRESERVAÇÃO DO PATRIMÔNIO HISTÓRICO E CULTURAL;Cledson Sampaio Bittencourt;Poder Público;Titular;Secretaria Municipal de Infraestrutura e Mobilidade Urbana
PRESERVAÇÃO DO PATRIMÔNIO HISTÓRICO E CULTURAL;Francisco Eduardo Leal;Poder Público;Suplente;Secretaria Municipal de Infraestrutura e Mobilidade Urbana
PRESERVAÇÃO DO PATRIMÔNIO HISTÓRICO E CULTURAL;Vitor Montalvão Oliveira;Poder Público;Titular;Superintendência de Postura
PRESERVAÇÃO DO PATRIMÔNIO HISTÓRICO E CULTURAL;Edson Moreira dos Reis;Poder Público;Suplente;Superintendência de Postura
PRESERVAÇÃO DO PATRIMÔNIO HISTÓRICO E CULTURAL;Brand Arenari;Poder Público;Titular;Secretaria Municipal de Educação, Cultura e Esportes
PRESERVAÇÃO DO PATRIMÔNIO HISTÓRICO E CULTURAL;Francisco Eduardo Freitas Ribeiro dos Santos Filho;Poder Público;Suplente;Secretaria Municipal de Educação, Cultura e Esportes
PRESERVAÇÃO DO PATRIMÔNIO HISTÓRICO E CULTURAL;Fernando Luiz Cavalcanti Loureiro;Sociedade civil;Titular;ASSOCIAÇÃO COMERCIAL E INDUSTRIAL DE CAMPOS - ACIC
PRESERVAÇÃO DO PATRIMÔNIO HISTÓRICO E CULTURAL;Rodolpho Carlos Jordão;Sociedade civil;Suplente;ASSOCIAÇÃO COMERCIAL E INDUSTRIAL DE CAMPOS - ACIC
PRESERVAÇÃO DO PATRIMÔNIO HISTÓRICO E CULTURAL;João Carlos de Souza Coutinho;Sociedade civil;Titular;INSTITUTOS SUPERIORES DE ENSINO DO CENSA - ISECENSA
PRESERVAÇÃO DO PATRIMÔNIO HISTÓRICO E CULTURAL;Ronaldo Araújo;Sociedade civil;Suplente;INSTITUTOS SUPERIORES DE ENSINO DO CENSA - ISECENSA
PRESERVAÇÃO DO PATRIMÔNIO HISTÓRICO E CULTURAL;Antônio Carlos Ornellas Berriel;Sociedade civil;Titular;INSTITUTO HISTÓRICO E GEOGRÁFICO DE CAMPOS DOS GOYTACAZES
PRESERVAÇÃO DO PATRIMÔNIO HISTÓRICO E CULTURAL;Vilmar Ferreira Rangel;Sociedade civil;Suplente;INSTITUTO HISTÓRICO E GEOGRÁFICO DE CAMPOS DOS GOYTACAZES
PRESERVAÇÃO DO PATRIMÔNIO HISTÓRICO E CULTURAL;Orlando Lino Pinheiro Portugal;Sociedade civil;Titular;CÂMARA DOS DIRETORES LOJISTAS – CDL
PRESERVAÇÃO DO PATRIMÔNIO HISTÓRICO E CULTURAL;Claudius Marcelo Arêas Alves;Sociedade civil;Suplente;CÂMARA DOS DIRETORES LOJISTAS – CDL
PRESERVAÇÃO DO PATRIMÔNIO HISTÓRICO E CULTURAL;Luis Carlos Cordeiro Chicri;Sociedade civil;Titular;COMERCIANTES E AMIGOS DA RUA JOÃO PESSOA E ADJACÊNCIAS – CAJORPA
PRESERVAÇÃO DO PATRIMÔNIO HISTÓRICO E CULTURAL;João Elias Waked Filho;Sociedade civil;Suplente;COMERCIANTES E AMIGOS DA RUA JOÃO PESSOA E ADJACÊNCIAS – CAJORPA
PRESERVAÇÃO DO PATRIMÔNIO HISTÓRICO E CULTURAL;Rodrigo Porto;Sociedade civil;Titular;ASSOCIAÇÃO NORTE FLUMINENSE DE ENGENHEIROS E ARQUITETOS – ANFEA
PRESERVAÇÃO DO PATRIMÔNIO HISTÓRICO E CULTURAL;Geovani Laurindo Filho;Sociedade civil;Suplente;ASSOCIAÇÃO NORTE FLUMINENSE DE ENGENHEIROS E ARQUITETOS – ANFEA
TURISMO;Hans Muylaert;Poder Público;;"Diretor de Turismo do Município
de Campos dos Goytacazes"
TURISMO;Roger Rangel Coutinho;Poder Público;;Secretaria de Desenvolvimento Ambiental
TURISMO;Edimilson Mota;Poder Público;;Universidade Federal Fluminense
TURISMO;Eduardo Pozitivo;Sociedade civil;;Convention Bureau de Campos dos Goytacazes
TURISMO;Marcelo Victor Ribeiro Oliveira;Mercado;;ACIC – Associação Comercial da Indústria e Comércio de Campos dos Goytacazes
TURISMO;Paulo Sergio Arantes de Oliveira;Poder Público;;Câmara Municipal de Campos dos Goytacazes
TURISMO;Enos Gama Junior;Poder Público;;Parque Estadual do Desengano
TURISMO;Everaldo Reis Tavares Rangel;Sociedade civil;;Representante Guias de Turismo
TURISMO;Pedro Lincoln Bessa;Poder Público;;Fundação Cultural Jornalista Oswaldo Lima
TURISMO;Carlos Alberto Pessanha Dias;Poder Público;;Fundação Municipal de Esportes
TURISMO;Adriano Serra;Mercado;;Palace Hotel
TURISMO;Ivanildo Cordeiro;Mercado;;ACIC – Associação Comercial da Indústria e Comércio de Campos dos Goytacazes
Acompanhamento e Controle Social do Fundo de Manutenção e Desenvolvimento da Educação Básica e de Valorização dos Profissionais da Educação;Guilherme Manhães da Silva;Poder Público;Titular;SMECE
Acompanhamento e Controle Social do Fundo de Manutenção e Desenvolvimento da Educação Básica e de Valorização dos Profissionais da Educação;Wagner de Paula Almeida Pereira;Poder Público;Suplente;SMECE
Acompanhamento e Controle Social do Fundo de Manutenção e Desenvolvimento da Educação Básica e de Valorização dos Profissionais da Educação;Rosana de Souza Bastos;Poder Público;Titular;Poder Executivo Municipal
Acompanhamento e Controle Social do Fundo de Manutenção e Desenvolvimento da Educação Básica e de Valorização dos Profissionais da Educação;Renykson dos Santos Jardim;Poder Público;Suplente;Poder Executivo Municipal
Acompanhamento e Controle Social do Fundo de Manutenção e Desenvolvimento da Educação Básica e de Valorização dos Profissionais da Educação;Graciete Santana Nogueira Nunes;Poder Público;Titular;professores da educação básica pública
Acompanhamento e Controle Social do Fundo de Manutenção e Desenvolvimento da Educação Básica e de Valorização dos Profissionais da Educação;Odisseia Pinto de Carvalho;Poder Público;Suplente;professores da educação básica pública
Acompanhamento e Controle Social do Fundo de Manutenção e Desenvolvimento da Educação Básica e de Valorização dos Profissionais da Educação;Christiane Monteiro Alves Tinoco Leite;Poder Público;Titular;Diretores das escolas básicas públicas
Acompanhamento e Controle Social do Fundo de Manutenção e Desenvolvimento da Educação Básica e de Valorização dos Profissionais da Educação;Priscila Sá Champion Cabral;Poder Público;Suplente;Diretores das escolas básicas públicas
Acompanhamento e Controle Social do Fundo de Manutenção e Desenvolvimento da Educação Básica e de Valorização dos Profissionais da Educação;Andréa da Silva Pinto Lobo de Azeve;Poder Público;Titular;Servidores Técnico-Administrativos das escolas básicas públicas – SIPROSEP
Acompanhamento e Controle Social do Fundo de Manutenção e Desenvolvimento da Educação Básica e de Valorização dos Profissionais da Educação;Dalicea Schuller dos Santos;Poder Público;Suplente;Servidores Técnico-Administrativos das escolas básicas públicas – SIPROSEP
Acompanhamento e Controle Social do Fundo de Manutenção e Desenvolvimento da Educação Básica e de Valorização dos Profissionais da Educação;Jhoni Barros da Silva;Sociedade civil;Titular;Pais de alunos da educação básica pública
Acompanhamento e Controle Social do Fundo de Manutenção e Desenvolvimento da Educação Básica e de Valorização dos Profissionais da Educação;Alexandre da Silva;Sociedade civil;Suplente;Pais de alunos da educação básica pública
Acompanhamento e Controle Social do Fundo de Manutenção e Desenvolvimento da Educação Básica e de Valorização dos Profissionais da Educação;Angela Patrícia Ricardo da Silva;Sociedade civil;Titular;Pais de alunos da educação básica pública
Acompanhamento e Controle Social do Fundo de Manutenção e Desenvolvimento da Educação Básica e de Valorização dos Profissionais da Educação;Patrícia Ferreira de Carvalho;Sociedade civil;Suplente;Pais de alunos da educação básica pública
Acompanhamento e Controle Social do Fundo de Manutenção e Desenvolvimento da Educação Básica e de Valorização dos Profissionais da Educação;Marcos Messias da Silva Santos;Sociedade civil;Titular;estudantes da educação básica pública
Acompanhamento e Controle Social do Fundo de Manutenção e Desenvolvimento da Educação Básica e de Valorização dos Profissionais da Educação;Taísa Santos Dias;Sociedade civil;Suplente;estudantes da educação básica pública
Acompanhamento e Controle Social do Fundo de Manutenção e Desenvolvimento da Educação Básica e de Valorização dos Profissionais da Educação;Gabriel Henrique Barbosa Carvalho;Sociedade civil;Titular;estudantes secundaristas
Acompanhamento e Controle Social do Fundo de Manutenção e Desenvolvimento da Educação Básica e de Valorização dos Profissionais da Educação;Ana Luisa Pereira dos Santos Pessanha;Sociedade civil;Suplente;estudantes secundaristas
Acompanhamento e Controle Social do Fundo de Manutenção e Desenvolvimento da Educação Básica e de Valorização dos Profissionais da Educação;Helmar Amorim de Souza Oliveira;Sociedade civil;Titular;Conselho Municipal de Educação
Acompanhamento e Controle Social do Fundo de Manutenção e Desenvolvimento da Educação Básica e de Valorização dos Profissionais da Educação;Otávia Dias;Sociedade civil;Suplente;Conselho Municipal de Educação
Acompanhamento e Controle Social do Fundo de Manutenção e Desenvolvimento da Educação Básica e de Valorização dos Profissionais da Educação;Geovana Oliveira Almeida;Sociedade civil;Titular;Conselho Tutelar
Acompanhamento e Controle Social do Fundo de Manutenção e Desenvolvimento da Educação Básica e de Valorização dos Profissionais da Educação;Alessandra Crespo Rosa;Sociedade civil;Suplente;Conselho Tutelar
Combate à corrupção;José Paes Neto;Poder Público;Titular;Procuradoria Geral do Município
Combate à corrupção;Bruno Glória Silva;Poder Público;Suplente;Procuradoria Geral do Município
Combate à corrupção;Marcilene Barreto Nunes Dafl on;Poder Público;Titular;Secretaria da Transparência e Controle
Combate à corrupção;Gisely Nunes Moço Barbosa;Poder Público;Suplente;Secretaria da Transparência e Controle
Combate à corrupção;André Luiz Gomes de Oliveira;Poder Público;Titular;Secretaria Municipal de Gestão Pública
Combate à corrupção;Thaynam Silva Bairral França Gonçalves;Poder Público;Suplente;Secretaria Municipal de Gestão Pública
Combate à corrupção;Mariana Souza Oliveira Lontra Costa;Poder Público;Titular;Gabinete do Prefeito
Combate à corrupção;Sergio Renne Borges de Menezes Junior;Poder Público;Suplente;Gabinete do Prefeito
Combate à corrupção;Ricardo André de Vasconcelos Alvarenga;Sociedade Civil;Titular;Associação de Imprensa Campista
Combate à corrupção;Cássio Leandro Moreira Peixoto;Sociedade Civil;Suplente;Associação de Imprensa Campista
Combate à corrupção;Sérgio de Azevedo Almeida;Sociedade Civil;Titular;SIPROSEP
Combate à corrupção;Dalicéa Schueler dos Sant;Sociedade Civil;Suplente;SIPROSEP
Combate à corrupção;Rafael Crespo Maciel Machado;Sociedade Civil;Titular;OAB/CAMPOS/RJ
Combate à corrupção;Kelly Viter Campos;Sociedade Civil;Suplente;OAB/CAMPOS/RJ
Combate à corrupção;Cláudio Nogueira Andrade Filho;Sociedade Civil;Titular;Câmara Municipal de Campos
Combate à corrupção;Paulo César Genásio de Souza;Sociedade Civil;Suplente;Câmara Municipal de Campos
Defesa do Consumidor;Douglas Leonard Queiroz Pessanha;Poder Público;Titular;SUPERINTENDÊNCIA DO PROCON
Defesa do Consumidor;Bruno da Silva Lopes;Poder Público;Suplente;SUPERINTENDÊNCIA DO PROCON
Defesa do Consumidor;Robson de Lima Braga;Poder Público;Titular;MUNICIPAL DE EDUCAÇÃO, CULTURA E ESPORTES
Defesa do Consumidor;Joana de Freitas Tavares Campista;Poder Público;Suplente;MUNICIPAL DE EDUCAÇÃO, CULTURA E ESPORTES
Defesa do Consumidor;Vera Cardoso de Melo;Poder Público;Titular;VIGILÂNCIA SANITÁRIA MUNICIPAL
Defesa do Consumidor;Elana Martins Rodrigues;Poder Público;Suplente;VIGILÂNCIA SANITÁRIA MUNICIPAL
Defesa do Consumidor;Mariano Amorin;poder Público;Titular;SECRETARIA MUNICIPAL DE FAZENDA
Defesa do Consumidor;Janaína Gomes Viana;poder Público;Suplente;SECRETARIA MUNICIPAL DE FAZENDA
Defesa do Consumidor;Nildo Nunes Cardoso;Poder Público;Titular;Superintendência de Agricultura e Pecuária
Defesa do Consumidor;Gedison Cesati Canal;Poder Público;Suplente;Superintendência de Agricultura e Pecuária
Defesa do Consumidor;Rodolpho Carlos Jordão;Mercado;Titular;ASSOCIAÇÃO COMERCIAL E INDUSTRIAL DE CAMPOS - ACIC
Defesa do Consumidor;Gerson de Souza Gomes;Mercado;Suplente;ASSOCIAÇÃO COMERCIAL E INDUSTRIAL DE CAMPOS - ACIC
"Conselho Deliberativo do Instituto de Previdência dos Servidores do
Município de Campos dos Goytacazes - PREVICAMPOS";Leonardo Barreto Almeida Filho;Poder Público;Titular;Indicação do prefeito municipal
"Conselho Deliberativo do Instituto de Previdência dos Servidores do
Município de Campos dos Goytacazes - PREVICAMPOS";Diego Suisso da Hora;Poder Público;titular;Indicação do prefeito municipal
"Conselho Deliberativo do Instituto de Previdência dos Servidores do
Município de Campos dos Goytacazes - PREVICAMPOS";Gisely Nunes Moço Barbosa;Poder Público;titular;Indicação do prefeito municipal
"Conselho Deliberativo do Instituto de Previdência dos Servidores do
Município de Campos dos Goytacazes - PREVICAMPOS";Thais de Maria Gomes de Andrade Ramos;Poder Público;suplente;Indicação do prefeito municipal
"Conselho Deliberativo do Instituto de Previdência dos Servidores do
Município de Campos dos Goytacazes - PREVICAMPOS";Manuela Rodrigues D'Oliveira Portugal;Poder Público;suplente;Indicação do prefeito municipal
"Conselho Deliberativo do Instituto de Previdência dos Servidores do
Município de Campos dos Goytacazes - PREVICAMPOS";Marcos Vinicios Soares de Souza;Poder Público;suplente;Indicação do prefeito municipal
"Conselho Deliberativo do Instituto de Previdência dos Servidores do
Município de Campos dos Goytacazes - PREVICAMPOS";Alexandre Crespo Stoller;Sociedade civil;titular;SIPROSEP
"Conselho Deliberativo do Instituto de Previdência dos Servidores do
Município de Campos dos Goytacazes - PREVICAMPOS";Elaine Fontes Leão;Sociedade civil;titular;SIPROSEP
"Conselho Deliberativo do Instituto de Previdência dos Servidores do
Município de Campos dos Goytacazes - PREVICAMPOS";Fábio de Azevedo Almeida;Sociedade civil;titular;SIPROSEP
"Conselho Deliberativo do Instituto de Previdência dos Servidores do
Município de Campos dos Goytacazes - PREVICAMPOS";Mário dos Santos Gomes;Sociedade civil;suplente;SIPROSEP
"Conselho Deliberativo do Instituto de Previdência dos Servidores do
Município de Campos dos Goytacazes - PREVICAMPOS";Ronald de Souza Pereira;Sociedade civil;suplente;SIPROSEP
"Conselho Deliberativo do Instituto de Previdência dos Servidores do
Município de Campos dos Goytacazes - PREVICAMPOS";Antônio Augusto de Sá Rodrigues;Sociedade civil;suplente;SIPROSEP
Gestor do Fundecam;Rogério Fernandes Ribeiro Gomes;Poder Público;Titular;Superintendência do Trabalho e Renda
Gestor do Fundecam;Rosana Corrêa Juncá;Poder Público;Suplente;Superintendência do Trabalho e Renda
Gestor do Fundecam;Luiz Claudio Vieira;Poder Público;Titular;CIDAC
Gestor do Fundecam;Leonardo Gomes Mocaiber;Poder Público;Suplente;CIDAC
Gestor do Fundecam;Carlos Vinicius Viana Vieira;Poder Público;Titular;CODEMCA
Gestor do Fundecam;Marcel Cardoso e Cardoso;Poder Público;Suplente;CODEMCA
Gestor do Fundecam;José Paes Neto;Poder Público;Titular;Procuradoria
Gestor do Fundecam;Tainá de Oliveira Inácio;Poder Público;Suplente;Procuradoria
Gestor do Fundecam;Barreto Nunes Daflon;Poder Público;Titular;Secretaria da Transparência e Controle
Gestor do Fundecam;Gisely Nunes Moço Barbosa;Poder Público;Suplente;Secretaria da Transparência e Controle
Gestor do Fundecam;Evandro Guimarães Ferraz;Poder Público;Titular;Secretaria Municipal de Agricultura
Gestor do Fundecam;Leandro Ramos Barreto;Poder Público;Suplente;Secretaria Municipal de Agricultura
Gestor do Fundecam;Leonardo Diogenes Wigand Rodrigues;Poder Público;Titular;Secretaria de Fazenda
Gestor do Fundecam;Mariano Amorim;Poder Público;Suplente;Secretaria de Fazenda
Gestor do Fundecam;José Felipe Quintanilha França;Poder Público;Titular;Secretaria de Desenvolvimento Econômico
Gestor do Fundecam;Romeu e Silva Neto;Poder Público;Suplente;Secretaria de Desenvolvimento Econômico
